question,answer
Preventing frostbite,"Most of the time frostbite can be prevented by taking precautions during cold weather.
Avoid unnecessary exposure to cold temperatures. The combination of wind and cold temperatures (wind chill) can also cause a rapid drop in temperature, so avoid going out when it's cold and windy, if possible. 
It's also important to know what the early symptoms of frostbite are, particularly the tingling sensation of frostnip.
Wear appropriate clothing that protects your extremities, such as:
well-insulated boots and a thick pair of well-fitting socks
mittens – they provide better protection against very cold weather than gloves
a warm, weatherproof hat that covers your ears – it's important to protect your head from the cold
multiple thin layers of warm, loose-fitting clothing – these act as insulation
You should also try to keep dry and remove any wet clothing as soon as you can. 
If you're travelling during cold weather, plan for emergencies. For example, if you're driving in icy conditions, make sure you keep a warm blanket and some spare clothes in the boot of your car in case you break down. 
If you're travelling by foot, always let others know where you're going and what time you'll be back. Take a fully charged mobile phone with you so you can call for help if you have an accident, such as a fall.
Be careful when drinking alcohol during very cold weather. Drinking too much increases your risk of falling asleep in the cold, a common cause of frostbite. Alcohol also causes you to lose heat at a faster rate.
Smoking also makes you more vulnerable to the effects of the cold because nicotine can narrow your blood vessels."
Complications of frostbite,"If some of your tissue dies, the dead tissue will no longer have a blood supply. This can make the affected body part very vulnerable to infection because your body relies on white blood cells to ward off infections.
People with frostbite are at risk of bacterial wound infections, such as tetanus. More seriously, this infection can spread into the blood (sepsis), which requires treatment with antibiotics. Both conditions require hospital admission. 
Read more about treating tetanus and treating sepsis.
Hypothermia
Severe frostbite is often associated with hypothermia, which is a dangerous drop in body temperature below 35C (95F).
Initial symptoms can include:
constant shivering
tiredness
low energy
cold or pale skin
fast breathing (hyperventilation)
Someone with severe hypothermia may be unconscious and have shallow breathing and a weak pulse. 
Read more about how hypothermia is treated."
Treatment for frozen shoulder,"Broadly, treatment works in 3 main steps:
Pain relief – avoid movements that cause you pain. Only move your shoulder gently. Use paracetamol or ibuprofen to ease the pain.
Stronger pain and swelling relief – prescribed painkillers. Maybe steroid injections in your shoulder to bring down the swelling.
Getting movement back – shoulder exercises once it's less painful. This can be at home or with a physiotherapist.
You may get a mix of these treatments depending on how painful and stiff your shoulder is.
Stronger pain relief is usually only used for a short time because it can cause side effects."
How long frozen shoulder lasts,"Frozen shoulder can take at least 1.5 to 3 years to get better. Sometimes it can be longer.
But the pain and stiffness will usually go away eventually."
How you can ease pain from frozen shoulder yourself,"Do
follow any exercises from your GP or physiotherapist
move your shoulder – keeping it still will make the pain worse
try heat packs on your shoulder
Don’t
do not make up your own strenuous exercises – for example, gym equipment can make the pain worse"
Causes of frozen shoulder,"It's often not clear why people get a frozen shoulder.
Frozen shoulder happens when the tissue around your shoulder joint becomes inflamed.
The tissue then gets tighter and shrinks, which causes pain.
Frozen shoulder can happen because:
you had an injury or surgery that keeps you from moving your arm normally
you have diabetes – it's still unclear why this is, but it's important to have your regular diabetes check-ups to catch any problems early"
Common medically unexplained symptoms,"Common medically unexplained symptoms include:
pains in the muscles or joints
back pain
headaches
tiredness
feeling faint
chest pain
heart palpitations
stomach problems
About 1 in 4 people who see a GP have physical symptoms that cannot be explained."
Possible causes of medically unexplained symptoms,"Many people with medically unexplained symptoms, such as tiredness, pain and heart palpitations, also have depression or anxiety.
Treating an associated psychological problem can often relieve the physical symptoms.
For others, the symptoms may be part of a poorly understood syndrome, such as:
chronic fatigue syndrome (CFS) – also known as ME
irritable bowel syndrome (IBS)
fibromyalgia (pain all over the body)
The fact that doctors are unable to find a condition causing these symptoms isn't unusual in medicine, and it doesn't mean that nothing can be done to help you."
How a GP can help,"A GP will aim to rule out all the possible conditions that might be causing your symptoms. You may have a thorough physical examination and blood tests.
It's important to consider whether any medicine you're taking may be causing your symptoms – for example, taking painkillers long term can lead to headaches.
The GP should also investigate whether you might have an associated problem, such as depression or anxiety. Physical symptoms can cause depression and anxiety, and these can in turn make the physical symptoms worse, creating a vicious circle.
You should tell the GP:
what your symptoms are like, when they started and what makes them better or worse
what you think is the cause of your symptoms and your expectations of how tests and treatments might help
how your symptoms affect what you can do – what they stop you doing
how upsetting your symptoms are – how they make you feel
There are a number of things you can do yourself that may help.
You and the GP may identify some lifestyle changes and goals that you both think will help relieve your symptoms, such as regular physical activity and better rest.
You may be referred for a talking therapy, such as cognitive behavioural therapy (CBT). The aim of CBT is to help you to manage your symptoms by enabling you to understand links between your symptoms, worries, feelings and how you cope.
If your symptoms seem to be caused by a problem with the nervous system, you may be referred to a neurologist (a specialist in disorders of the nervous system).
The neurologist may refer you for psychotherapy but will also consider other therapy options, such as physiotherapy or occupational therapy .
Medicine such as antidepressants can be helpful, even if you're not depressed. However, medicine isn't always the answer – painkillers or sedatives, for example, may lead to dependence. The possible benefits of medicine always need to be weighed against the potential side effects.
If you think you have an underlying condition that's been missed by your doctor, you can ask for a second opinion."
Self-help,"There are things you can do to improve or even relieve some physical symptoms, such as taking regular exercise and managing stress.
Regular exercise will help keep you fit and many people find that it also boosts their mood (read about exercise for depression). How much exercise you should do will depend on your current health and capabilities.
Managing stress is very important because it's been linked to problems such as pain and IBS. Learn about breathing exercises for stress.
Generally, planning some pleasurable personal time to unwind should help – whatever helps you relax, whether it's yoga classes, swimming, running, meditation or walking in the countryside.
Read 5 steps to mental wellbeing
Your body has a remarkable ability to recover and there's a good chance that your symptoms will improve in time, even without any specific treatment."
Check if it's a fungal nail infection,"Fungal nail infections usually affect your toenails, but you can get them on your fingernails, too.
Fungal nail infections sometimes start at the edge of the nail.
Credit:
The infection often spreads to the middle of the nail, making the nail discoloured and sometimes thicker in parts.
Credit:
The nail becomes brittle and pieces can break off. Sometimes the whole nail lifts off. This can cause pain and swelling in the skin around the nail.
Credit:"
A pharmacist can help with fungal nail infections,"Speak to a pharmacist if the look of your nail bothers you or it's painful.
They may suggest:
antifungal nail cream – it can take up to 12 months to cure the infection and does not always work
nail-softening cream – it's used for 2 weeks to soften the nail so the infected part can be scraped off
The infection is cured when you see healthy nail growing back at the base.
Find a pharmacy"
Treatment for a fungal nail infection from a GP,"A GP can prescribe antifungal tablets. But before they give you tablets they should take a sample of your nail and have it tested, to find out what type of infection you have.
You may need to take antifungal tablets for up to 6 months.
The tablets can have side effects, including:
headaches
itching
loss of taste
feeling sick and diarrhoea
You cannot take antifungal tablets if you're pregnant or have certain conditions. They can damage your liver.
Badly infected nails sometimes need to be removed. It's a small procedure done while the area is numbed (under local anaesthetic)."
Preventing fungal nail infections,"Fungal nail infections develop when your feet are constantly warm and damp.
You're more likely to get an infection if you wear trainers for a long time and have hot, sweaty feet.
To prevent fungal nail infections:
Do
treat athlete's foot as soon as possible to avoid it spreading to nails
keep your feet clean and dry
wear clean socks every day
wear flip-flops in showers at the gym or pool
throw out old shoes
Don’t
do not wear shoes that make your feet hot and sweaty
do not share towels
do not wear other people's shoes
do not share nail clippers or scissors"
Why does my gallbladder need to be removed?,"Surgery to remove the gallbladder is usually carried out if you have painful gallstones.
These are small stones that can form in the gallbladder as a result of an imbalance in the substances that make up bile.
Gallstones often cause no symptoms and you may not realise you have them, but occasionally they can block the flow of bile and irritate the gallbladder (acute cholecystitis) or pancreas (acute pancreatitis).
This can cause symptoms such as:
sudden and intense tummy pain
feeling and being sick
yellowing of the skin and the whites of the eyes (jaundice)
Surgery to remove the gallbladder is the most effective treatment in the vast majority of cases."
What happens during gallbladder removal surgery,"There are 2 main ways of removing a gallbladder:
laparoscopic (keyhole) cholecystectomy – several small cuts (incisions) are made in your tummy (abdomen) and fine surgical instruments are used to access and remove your gallbladder
open cholecystectomy – a single larger incision is made in your tummy to access and remove your gallbladder
Keyhole surgery is used most often because you can leave hospital sooner, recover faster and are left with smaller scars than with an open procedure.
Both techniques are performed under general anaesthetic, which means you'll be asleep during the operation and won't feel any pain while it's carried out.
Find out more about how gallbladder removal surgery is performed"
Recovering from gallbladder removal surgery,"It doesn't usually take long to recover from keyhole surgery to remove your gallbladder.
Most people can leave hospital the same day or the next morning.
You'll probably be able to return to most of your normal activities within 2 weeks.
It takes longer to recover from open surgery. You may need to stay in hospital for 3 to 5 days and it could be 6 to 8 weeks before you're feeling back to normal.
Find out more about recovering from gallbladder removal surgery"
Living without a gallbladder,"You can lead a perfectly normal life without a gallbladder.
Your liver will still make enough bile to digest your food, but instead of being stored in the gallbladder, it drips continuously into your digestive system.
You may have been advised to eat a special diet before surgery, but this doesn't need to be continued afterwards.
Instead, you should aim to have a generally healthy, balanced diet.
Some people experience problems such as bloating or diarrhoea after surgery, although this usually improves within a few weeks. 
If you notice certain foods or drinks trigger these symptoms, you may wish to avoid them in the future.
Find out more about diet after gallbladder surgery"
Risks of gallbladder removal surgery,"Gallbladder removal surgery is considered to be a safe procedure, but, like any type of surgery, there's a risk of complications.
Possible complications include:
wound infection
bile leaking into the tummy
damage to one of the openings (ducts) carrying bile out of the liver
blood clots
Speak to your surgeon about the benefits and risks of surgery before your operation.
Find out more about the complications of gallbladder removal surgery"
Symptoms of gallstones,"Gallstones often have no symptoms.
But if a gallstone becomes trapped in an opening (duct) inside the gallbladder, it can trigger a sudden, intense pain in your tummy that usually lasts between 1 and 5 hours.
This type of abdominal pain is known as biliary colic.
Some people with gallstones can also develop complications, such as inflammation of the gallbladder (cholecystitis).
This can cause:
persistent pain
yellowing of the skin and eyes (jaundice)
a high temperature
When gallstones cause symptoms or complications, it's known as gallstone disease or cholelithiasis."
The gallbladder,"The gallbladder is a small pouch-like organ found underneath the liver. Its main purpose is to store and concentrate bile.
Bile is a liquid produced by the liver to help digest fats. It's passed from the liver into the gallbladder through a series of channels known as bile ducts.
The bile is stored in the gallbladder and, over time, becomes more concentrated, which makes it better at digesting fats.
The gallbladder releases bile into the digestive system when it's needed."
Causes of gallstones,"Gallstones are thought to develop because of an imbalance in the chemical make-up of bile inside the gallbladder.
In most cases the levels of cholesterol in bile become too high and the excess cholesterol forms into stones.
Gallstones are very common. It's estimated more than 1 in every 10 adults in the UK has gallstones, although only a minority of people develop symptoms.
You're more at risk of developing gallstones if you're:
overweight or obese
female (particularly if you have had children)
40 or over (the risk increases as you get older)"
Treating gallstones,"Treatment is usually only necessary if gallstones are causing:
symptoms, such as tummy pain
complications, such as jaundice or acute pancreatitis
In these cases, keyhole surgery to remove the gallbladder may be recommended. 
This procedure, known as a laparoscopic cholecystectomy, is relatively simple to perform and has a low risk of complications.
It's possible to lead a normal life without a gallbladder.
Your liver will still produce bile to digest food, but the bile will drip continuously into the small intestine, rather than build up in the gallbladder."
Outlook,"Gallstone disease is usually easily treated with surgery. 
Very severe cases can be life threatening, particularly in people who are already in poor health.
But deaths from gallstone disease are rare in the UK.
Video: gallstones
In this video, a doctor explains what gallstones are, the symptoms and the treatment options.
Play Video
Media last reviewed: 1 May 2021
Media review due: 1 May 2024"
Symptoms of a ganglion cyst,"Ganglion cysts look and feel like a smooth lump under the skin.
They're made up of a thick, jelly-like fluid called synovial fluid, which surrounds joints and tendons to lubricate and cushion them during movement.
Ganglions can occur alongside any joint in the body, but are most common on the wrists (particularly the back of the wrist), hands and fingers.
Ganglions are harmless, but can sometimes be painful. If they do not cause any pain or discomfort, they can be left alone and may disappear without treatment, although this can take a number of years.
It's not clear why ganglions form. They seem to happen when the synovial fluid that surrounds a joint or tendon leaks out and collects in a sac."
Treatment for a ganglion cyst,"Treatment is usually only recommended if the cyst causes pain or affects the range of movement in a joint.
The 2 main treatment options for a ganglion cyst are:
draining fluid out of the cyst with a needle and syringe (aspiration)
cutting the cyst out using surgery"
Availability on the NHS,"Most integrated care boards (ICBs) do not fund treatment for ganglion cysts unless they cause significant pain or disrupt daily activities.
If you want to have a cyst removed for cosmetic reasons, you'll probably have to pay for private treatment."
Aspiration,"Aspiration is usually carried out in the outpatient department of your local hospital.
Your doctor will use a needle and syringe to remove as much of the contents of the ganglion as possible.
The area is sometimes also injected with a dose of steroid medication to help prevent the ganglion returning, although there's no clear evidence this reduces the risk of it coming back.
After the procedure, a plaster is placed over the small hole in your skin. This can be removed about 6 hours after the procedure.
Aspiration is simple and painless, and you'll be able to leave the hospital straight after.
It's often the first treatment option offered for ganglion cysts as it's less invasive than surgery.
But around half of all ganglion cysts treated using aspiration return at some point. If a cyst does return, surgery may be necessary."
Surgery,"There are 2 ways surgery can be used to remove a ganglion cyst:
open surgery – where the surgeon makes a medium-sized cut, usually about 5cm (2in) long, over the site of the affected joint or tendon
arthroscopy – a type of keyhole surgery where smaller cuts are made and a tiny camera called an arthroscope is used by the surgeon to look inside the joint; using the arthroscope as a guide, they then pass instruments through the cut to remove the cyst
Both techniques can be performed under either local anaesthetic, where you're awake but will not feel any pain, or general anaesthetic, where you're asleep during the operation.
The choice depends on where the ganglion is, which anaesthetic you'd prefer and what your surgeon thinks is best.
Open or keyhole surgery?
Both techniques are equally effective at removing the cyst and reducing the risk of it returning.
Keyhole surgery tends to cause less pain after the operation, but waiting times are often longer."
After the operation,"The surgeon will stitch up the wound and a bandage will be placed over the area.
This helps keep it clean, reducing the risk of infection, as well as keeping it safe from any accidental bumps.
The wound is not usually painful, but you'll be given painkillers to take if you feel any discomfort after the operation.
If the cyst was removed from your wrist or hand, you may need to wear a sling for the first few days.
This helps keep your arm safe from any accidental knocks, and may help reduce swelling and discomfort. Move your fingers regularly to help keep the joints flexible.
Surgery to remove a ganglion cyst leaves a scar, which can occasionally be thick and red. For some people, the skin around the scar remains numb after the operation.
You'll usually experience some bruising in the area after your operation, but this should fade quickly.
There's also a small possibility of temporary stiffness, swelling or pain afterwards. This may be caused by a minor infection treatable with antibiotics.
Lasting pain or stiffness may need further treatment with physiotherapy.
How much time you need to take off work after surgery to remove a ganglion cyst largely depends on your job and where the ganglion is.
If your job involves manual labour, you may need to take time off.
You can usually start driving again once it feels safe."
Complications,"Having a ganglion cyst removed is a minor procedure, so complications are rare and seldom serious.
But a small number of people experience permanent stiffness and pain after surgery.
If you have the operation under general anaesthetic, there's also a very small risk of complications to your heart and lungs. 
Pre-assessment tests before surgery should make sure your risks are as low as possible.
There's always a chance a ganglion cyst will come back after treatment. This is more likely if the ganglion is on certain areas of the wrist."
Who's affected,"Anyone can develop gangrene, particularly after a serious injury, but there are certain groups of people who are more at risk.
These include people with long-term conditions that can affect the blood vessels, such as:
diabetes – a condition that causes a person's blood sugar level to become too high
atherosclerosis – where the arteries become clogged up with a fatty substance called plaque, narrowing them and restricting blood flow
peripheral arterial disease – where a build-up of fatty deposits in the arteries restricts blood supply to leg muscles
Raynaud's – where blood vessels in certain parts of the body, usually the fingers or toes, react abnormally to cold temperatures
Read more about the causes of gangrene."
How gangrene is treated,"The earlier treatment for gangrene begins, the more successful it's likely to be. The main treatments include surgery to remove damaged tissue, known as debridement, and antibiotics to treat any underlying infection.
In some cases, surgery may be needed to restore blood flow to the affected area.
In more severe cases, it may be necessary to remove an entire body part such as a toe, foot, or lower leg. This is known as amputation.
Read more about treating gangrene."
Preventing gangrene,"Many cases of gangrene can be prevented.
If you have a condition that increases your risk of getting gangrene, such as diabetes, it's important you have regular check-ups to assess the state of your feet. Report any problems to your GP as soon as possible.
Stopping smoking if you smoke and adopting a healthy lifestyle, with a low-fat diet and regular exercise, can also improve your circulation and reduce your risk of developing gangrene.
Read more about preventing gangrene."
When a gastrectomy is needed,"A gastrectomy is often used to treat stomach cancer.
Less commonly, it's used to treat:
life-threatening obesity
oesophageal cancer
stomach ulcers (peptic ulcers)
non-cancerous tumours
Gastrectomy is usually an effective treatment for cancer and obesity."
How a gastrectomy is performed,"There are 4 main types of gastrectomy, depending on which part of your stomach needs to be removed:
total gastrectomy – the whole stomach is removed
partial gastrectomy – the lower part of the stomach is removed
sleeve gastrectomy – the left side of the stomach is removed
oesophagogastrectomy – the top part of the stomach and part of the oesophagus (gullet), the tube connecting your throat to your stomach, is removed
The stomach connects to the oesophagus (gullet) and the top of the small intestine
After surgery, you'll still have a working digestive system although it will not function as well as it did before. If all or most of the stomach is removed, the gullet will be connected to the small intestine or the remaining section of the stomach.
All types of gastrectomy are carried out under general anaesthetic, so you'll be asleep during the operation.
Techniques for gastrectomy
2 different techniques can be used to carry out a gastrectomy:
open gastrectomy – where a large cut is made in your stomach or chest
keyhole surgery (laparoscopic gastrectomy) – where several smaller cuts are made and surgical instruments are used
People who have keyhole surgery usually recover faster and have less pain after the procedure than those who have an open gastrectomy. You may also be able to leave hospital a little sooner.
Complication rates after keyhole surgery are similar to those for open gastrectomies.
Open gastrectomies are usually more effective in treating advanced stomach cancer than keyhole surgery is. This is because it's usually easier to remove affected lymph nodes (small glands that are part of the immune system) during an open gastrectomy.
Before you decide which procedure to have, discuss the advantages and disadvantages with your surgeon."
Recovering after a gastrectomy,"A gastrectomy is a major operation, so recovery can take a long time. You'll usually stay in hospital for 1 or 2 weeks after the procedure, where you may receive nutrition directly into a vein until you can eat and drink again.
You'll eventually be able to digest most foods and liquids. However, you may need to make changes to your diet, such as eating frequent small meals instead of 3 large meals a day. You may also need vitamin supplements to ensure you're getting the correct nutrition.
Read more about recovering from a gastrectomy"
Complications,"As with any type of surgery, a gastrectomy carries a risk of complications, such as infection, bleeding and leaking from the area that's been stitched together.
A gastrectomy may also lead to problems, such as anaemia or osteoporosis, caused by a reduction in your ability to absorb vitamins.
Read more about the possible complications of a gastrectomy"
Check if you have gastritis,"Symptoms of gastritis include:
tummy pain
indigestion
feeling full and bloated
feeling sick (nausea)
being sick (vomiting)
not feeling as hungry as usual
burping and farting"
Causes of gastritis,"Causes of gastritis include:
infection with a bacteria called helicobacter pylori (H. pylori)
taking anti-inflammatory painkillers (such as ibuprofen) and aspirin
drinking too much alcohol
being very stressed and unwell, such as after surgery
Gastritis can also be caused by a problem with your immune system where it attacks the lining of your stomach."
What happens at your GP appointment,"To find out what's causing gastritis symptoms, your doctor might arrange tests such as:
a breath test to check for the bacteria helicobactor pylori (H. pylori); you'll be given a special drink and your breath is checked afterwards
a test on a sample of your poo
a blood test
You should be told how to get ready for a breath test around 4 weeks before it happens."
Treatment for gastritis,"Treatment for gastritis depends on what's causing it.
You might need:
antibiotics
medicines to control stomach acid and stop it from rising into your food pipe (oesophagus), such as antacids, proton pump inhibitors or alginates
to talk to your doctor about stopping anti-inflammatory painkillers (such as ibuprofen) or aspirin and trying a different medicine, if possible
to stop drinking alcohol, if gastritis is caused by alcohol
If it's not treated, gastritis may get worse and cause a stomach ulcer.
If gastritis is not getting better, or it's causing severe symptoms, a GP might refer you to a specialist stomach doctor (gastroenterologist). They might do a test to look inside your stomach, called a gastroscopy."
Things you can do to help gastritis,"If gastritis is causing mild indigestion symptoms, there are things you can do to help.
Do
reduce the amount of drinks you have that contain caffeine, such as tea, coffee, cola and energy drinks
lie on an extra pillow in bed so your head and shoulders are higher, to help stop stomach acid rising up your throat while you sleep
lose weight if you're overweight
talk to your doctor if you regularly take anti-inflammatory painkillers (such as ibuprofen) or aspirin
Don’t
do not eat 3 to 4 hours before going to bed
do not have food or drink that's acidic (such as orange juice), fizzy, spicy or fatty
do not drink alcohol
do not smoke
A pharmacist can help with mild indigestion
A pharmacist can recommend:
medicines to help stop stomach acid from irritating your stomach and oesophagus, such as antacids and alginates
medicines that reduce the amount of acid your stomach makes, such as proton pump inhibitors
Some indigestion medicines are taken after eating, and some are taken before eating. Check the information leaflet that comes with the medicine.
Find a pharmacy"
Check if you have acid reflux,"The main symptoms of acid reflux are:
heartburn – a burning sensation in the middle of your chest
an unpleasant sour taste in your mouth, caused by stomach acid
You may also have:
a cough or hiccups that keep coming back
a hoarse voice
bad breath
bloating and feeling sick
Symptoms are often worse after eating, when lying down and when bending over."
Causes of heartburn and acid reflux,"Lots of people get heartburn from time to time. There's often no obvious reason why.
Sometimes it's caused or made worse by:
certain food and drink – such as coffee, tomatoes, alcohol, chocolate and fatty or spicy foods
being overweight
smoking
pregnancy - find out more about indigestion and heartburn in pregnancy
stress and anxiety
an increase in some types of hormones, such as progesterone and oestrogen
some medicines, such as anti-inflammatory painkillers (like ibuprofen)
a hiatus hernia – when part of your stomach moves up into your chest
a stomach ulcer
a bacterial infection in your stomach"
How you can ease heartburn and acid reflux yourself,"Simple lifestyle changes can help stop or reduce heartburn.
Do
eat smaller, more frequent meals
try to lose weight if you're overweight
try to find ways to relax
Don’t
do not have food or drink that triggers your symptoms
do not eat within 3 or 4 hours before bed
do not wear clothes that are tight around your waist
do not smoke
do not drink too much alcohol
do not stop taking any prescribed medicine without speaking to a doctor first
You may find that using wood, bricks or books to raise the head of your bed by around 10 to 20cm, so your chest and head are above your waist, helps relieve symptoms. This can help stop stomach acid travelling up towards your throat.
But do not try to achieve the same effect by using additional pillows, as this can increase pressure on your belly and make your symptoms worse.
A pharmacist can help with heartburn and acid reflux
Speak to a pharmacist for advice if you keep getting heartburn.
They may recommend medicines called antacids or alginates that can help ease your symptoms.
It's best to take these with food or soon after eating, as this is when you're most likely to get heartburn. They may also work for longer if taken with food.
Although antacids and alginates help symptoms in the short term, they will not cure the problem and should not be taken regularly for long periods.
If you're pregnant, a pharmacist can advise you about medicines you can take.
Find a pharmacy"
Treatment for heartburn and acid reflux from a GP,"If you have acid reflux, a GP may prescribe a medicine called a proton pump inhibitor (PPI) that reduces how much acid your stomach makes.
PPIs include:
omeprazole
lansoprazole
You'll usually need to take this type of medicine for 4 or 8 weeks, depending on how serious your acid reflux is.
Go back to the GP if your symptoms return after stopping your medicine. You may need a long-term prescription.
Important
If a PPI does not help, your doctor may suggest trying a different type of medicine called an H2 receptor antagonist, such as famotidine.
Tests and treatments for severe heartburn and acid reflux
If medicines do not help or your symptoms are severe, a GP may refer you to a specialist for:
tests to find out what's causing your symptoms, such as a gastroscopy (where a thin tube with a camera inside it is passed down your throat and into your stomach)
tests to check for bacteria that can cause heartburn – this can be treated with a combination of antibiotics and PPIs
surgery on your stomach or food pipe (oesophagus) to stop acid reflux"
Check if you have gastroparesis,"Symptoms of gastroparesis start after eating and may include:
feeling full sooner than usual – you may be unable to finish meals
feeling sick and being sick
tummy pain
heartburn
bloating
If you've had these symptoms for a while, you may also be losing weight."
Tests for gastroparesis,"If you have symptoms of gastroparesis, you'll usually have blood tests and an X-ray or ultrasound scan of your stomach to rule out other conditions first.
If these tests do not show other causes for your symptoms, you may need:
a gastroscopy (where a thin, flexible tube with a camera inside is passed through your mouth and into your stomach)
tests to find our how long it takes for food to pass through your stomach"
Treatment for gastroparesis,"Diet changes
If you have gastroparesis, you may be recommended to make changes to your diet such as:
eating 4 to 6 small meals a day, rather than 3 large meals
reducing the amount of insoluble fibre you eat – this is a type of fibre that cannot be digested (for example, wholegrain bread, beans, and some vegetables and fruits)
having a liquid diet (for example, foods like soups or meals blended in a food processor)
You may be referred to a healthy eating specialist (a dietitian) to help you make sure you're getting enough nutrients.
Medicines
You may be given medicines for gastroparesis that can:
help food move through your stomach faster, such as metoclopramide or domperidone
stop you feeling sick and being sick
help with pain
If your gastroparesis is linked to diabetes, you may also be offered ways to help you manage your blood sugar levels, such as using an insulin pump.
Other treatments
Depending on your symptoms, you may be offered other treatments including:
a feeding tube if you have malnutrition (a feeding tube can help you get nutrients)
botulinum toxin injections to help relax the valve between your stomach and small intestine
gastro-electrical stimulation, where an electrical device is placed in the abdomen to help your stomach muscles work (this may not be available on the NHS)
surgery where your stomach may be reshaped to help food pass through it more easily"
Causes of gastroparesis,"Gastroparesis is thought to be a problem with the nerves and muscles in the stomach. It's not always known what causes it.
It can be a complication of long-term conditions such as diabetes.
Gastroparesis can also be a complication after some types of surgery."
What is gender identity?,"Gender identity refers to our sense of who we are and how we see and describe ourselves.
Most people identify as ""male"" or ""female"". These are sometimes called ""binary"" identities.
But some people feel their gender identity is different from their biological sex.
For example, some people may have male genitals and facial hair but do not identify as a male or feel masculine.
Some may have female genitals and breasts but do not identify as a female or feel feminine.
Some people do not define themselves as having a ""binary"" identity. For them the concept of gender is not relevant to their identity.
They may use different terms, such as agender, gender diverse, gender non-conforming, to describe their identity. However, as a group, they are often called ""non-binary"".
Gender dysphoria and gender identity
Many people with gender dysphoria have a strong, lasting desire to live a life that ""matches"" or expresses their gender identity. They do this by changing the way they look and behave.
Some people with gender dysphoria, but not all, may want to use hormones and sometimes surgery to express their gender identity.
Gender dysphoria is not a mental illness, but some people may develop mental health problems because of gender dysphoria."
Signs of gender dysphoria,"People with gender dysphoria may have changed their appearance, their behaviour or their interests.
They may also show signs of discomfort or distress, including:
low self-esteem
becoming withdrawn or socially isolated
depression or anxiety
taking unnecessary risks
neglecting themselves
Read more about the signs of gender dysphoria.
Children and gender identity
Children may show an interest in clothes or toys that society tells us are more often associated with the opposite gender. They may be unhappy with their physical sex characteristics.
However, this type of behaviour is reasonably common in childhood and is part of growing up. It does not mean that all children behaving this way have gender dysphoria or other gender identity issues.
A small number of children may feel lasting and severe distress, which gets worse as they get older. This often happens around puberty, when young people might feel that their physical appearance does not match their gender identity.
This feeling can continue into adulthood with some people having a strong desire to change parts of their physical appearance, such as facial hair or breasts.
Find out more information if you think your child might be trans or non-binary."
How to get help,"See a GP if you think you or your child may have gender dysphoria.
If the GP agrees, they can refer you to a gender dysphoria clinic (GDC) where you’ll be assessed by a specialist team.
You do not need to be assessed by a mental health service first, and the GP does not need prior approval from the integrated care boards (ICBs) responsible for local health services.
You can self-refer to a GDC, but a referral by the GP is best. This is because they can give the GDC your detailed medical history.
If you are already seeing a doctor or psychologist for other conditions, ask them if they can refer you to a GDC.
Referrals for children and young people should be sent to the National Referral Support Service for the NHS Children and Young People's Gender Service.
Referrals for adults to one of the gender dysphoria clinics in England may be made from 17 years of age.
Waiting times
As there has been a huge increase in the number of people seeking a referral to a gender dysphoria clinic, waiting times can be long.
Find out how your GP and other organisations can support you while you wait to see a GDC."
Treatment for gender dysphoria,"After a detailed assessment to confirm the diagnosis of gender dysphoria and what it means for you, the GDC team will work with you on an agreed treatment plan.
If you are assessed as not having gender dysphoria, the GDC may recommend other forms of support to your GP.
Treatments provided by the GDC are intended to provide lasting relief from gender dysphoria. This can mean different things to different people.
For some people, treatment may just involve acceptance and affirmation or confirmation of their identity. For others, it may involve bigger changes, such as changes to their voice, hormone treatment or surgery.
Read more about treatments for gender dysphoria."
What causes gender dysphoria?,"The exact cause of gender dysphoria is unclear.
Gender development is complex and there are still things that are not known or fully understood.
Gender dysphoria is not related to sexual orientation. People with gender dysphoria may identify as straight, gay, lesbian or bisexual."
How common is gender dysphoria?,"No one really knows because not all people who have a sense of unease about their identity, or already identify as gender diverse, need or ask for support from the NHS.
The number of people being referred and diagnosed with the condition has increased a lot over the last decade. In 2018/19 around 8,000 people were referred to adult gender dysphoria services in England."
